DEPT [M],AC [US/F],CALI [IN],DEN [G/CC],GR [GAPI],NEU [%],RDEP [OHMM],RMED [OHMM]
128.9792,nan,nan,nan,64.9161,nan,1.9001,1.9183
129.1316,nan,nan,nan,64.3178,nan,1.9054,1.9382
129.284,nan,nan,nan,63.5428,nan,1.9125,1.9612
129.4364,nan,nan,nan,62.7097,nan,1.9235,1.9845
129.5888,nan,nan,nan,61.8621,nan,1.9345,2.0085
129.7412,nan,nan,nan,60.912,nan,1.9458,2.0323
129.8936,nan,nan,nan,59.7654,nan,1.9576,2.0558
130.046,nan,nan,nan,58.5543,nan,1.9688,2.0799
130.1984,nan,nan,nan,57.487,nan,1.9806,2.0986
130.3508,nan,nan,nan,57.4083,nan,1.9918,2.1087
130.5032,nan,nan,nan,59.4102,nan,2.0036,2.1157
130.6556,nan,nan,nan,63.4305,nan,2.0149,2.1241
130.808,nan,nan,nan,69.7214,nan,2.0274,2.1357
130.9604,nan,nan,nan,74.3034,nan,2.0496,2.1417
131.1128,nan,nan,nan,74.0606,nan,2.0925,2.1423
131.2652,nan,nan,nan,72.2466,nan,2.1193,2.1353
131.4176,nan,nan,nan,70.3951,nan,2.1424,2.1253
131.57,nan,nan,nan,68.2924,nan,2.1562,2.1063
131.7224,nan,nan,nan,65.5606,nan,2.1727,2.087
131.8748,nan,nan,nan,61.9658,nan,2.1967,2.0673
132.0272,nan,nan,nan,58.9173,nan,2.2,2.0485
132.1796,nan,nan,nan,60.0647,nan,2.1639,2.0285
132.332,nan,nan,nan,62.995,nan,2.1164,1.9961
132.4844,nan,nan,nan,65.3475,nan,2.0721,1.9433
132.6368,nan,nan,nan,66.4205,nan,2.0397,1.8855
132.7892,nan,nan,nan,67.0799,nan,2.0292,1.832
132.9416,nan,nan,nan,67.7394,nan,2.0262,1.807
133.094,nan,nan,nan,68.2839,nan,2.0232,1.8327
133.2464,nan,nan,nan,68.0836,nan,2.0213,1.8519
133.3988,nan,nan,nan,66.5109,nan,2.0296,1.8629
133.5512,nan,nan,nan,64.4521,nan,2.0563,1.8768
133.7036,nan,nan,nan,63.1648,nan,2.076,1.8988
133.856,nan,nan,nan,63.9243,nan,2.0974,1.9208
134.0084,nan,nan,nan,65.6606,nan,2.1153,1.9429
134.1608,nan,nan,nan,67.9057,nan,2.1016,1.9649
134.3132,nan,nan,nan,70.1227,nan,2.0775,1.9872
134.4656,nan,nan,nan,71.1222,nan,2.0535,2.0102
134.618,nan,nan,nan,69.9906,nan,2.0295,2.0333
134.7704,nan,nan,nan,68.1283,nan,2.0054,2.0519
134.9228,nan,nan,nan,65.9591,nan,1.9831,2.0427
135.0752,nan,nan,nan,63.4018,nan,1.9697,1.9854
135.2276,nan,nan,nan,61.5715,nan,1.9704,1.8947
135.38,nan,nan,nan,61.2889,nan,1.9754,1.7661
135.5324,nan,nan,nan,61.4998,nan,1.9804,1.6725
135.6848,nan,nan,nan,61.7108,nan,1.9846,1.5945
135.8372,nan,nan,nan,61.9217,nan,1.9868,1.5604
135.9896,nan,nan,nan,62.1326,nan,1.9893,1.5417
136.142,nan,nan,nan,62.3663,nan,1.9903,1.5711
136.2944,nan,nan,nan,62.74,nan,1.9919,1.6244
136.4468,nan,nan,nan,63.3502,nan,1.9946,1.6788
136.5992,nan,nan,nan,64.0356,nan,1.9966,1.7344
136.7516,nan,nan,nan,64.721,nan,1.9986,1.7918
136.904,nan,nan,nan,65.4064,nan,2.0003,1.8475
137.0564,nan,nan,nan,66.0917,nan,2.0016,1.8871
137.2088,nan,nan,nan,66.8924,nan,2.0036,1.8976
137.3612,nan,nan,nan,68.3886,nan,2.0056,1.899
137.5136,nan,nan,nan,70.9166,nan,2.0076,1.8999
137.666,nan,nan,nan,73.0836,nan,2.0096,1.9023
137.8184,nan,nan,nan,74.058,nan,2.0122,1.9033
137.9708,nan,nan,nan,74.6565,nan,2.0156,1.904
138.1232,nan,nan,nan,75.2551,nan,2.0176,1.9043
138.2756,nan,nan,nan,75.8535,nan,2.0193,1.9053
138.428,nan,nan,nan,76.3013,nan,2.0203,1.9063
138.5804,nan,nan,nan,75.857,nan,2.0216,1.9076
138.7328,nan,nan,nan,73.9684,nan,2.0245,1.9108
138.8852,nan,nan,nan,71.6266,nan,2.0298,1.9168
139.0376,nan,nan,nan,69.1711,nan,2.0359,1.9232
139.19,nan,nan,nan,65.9993,nan,2.0419,1.9299
139.3424,nan,nan,nan,61.8334,nan,2.0479,1.9362
139.4948,nan,nan,nan,58.9439,nan,2.0539,1.9432
139.6472,nan,nan,nan,59.1865,nan,2.0599,1.9499
139.7996,nan,nan,nan,60.4484,nan,2.0662,1.9559
139.952,nan,nan,nan,61.7103,nan,2.0751,1.9515
140.1044,nan,nan,nan,62.9435,nan,2.0935,1.9273
140.2568,nan,nan,nan,64.0114,nan,2.1188,1.9093
140.4092,nan,nan,nan,64.8198,nan,2.1312,1.8855
140.5616,nan,nan,nan,65.5476,nan,2.1386,1.8497
140.714,nan,nan,nan,66.2755,nan,2.1488,1.815
140.8664,nan,nan,nan,67.0035,nan,2.1639,1.7858
141.0188,nan,nan,nan,67.7314,nan,2.1789,1.7854
141.1712,nan,nan,nan,68.3723,nan,2.1939,1.8303
141.3236,nan,nan,nan,68.519,nan,2.2089,1.8903
141.476,nan,nan,nan,67.9052,nan,2.2239,1.9544
141.6284,nan,nan,nan,67.0567,nan,2.239,2.0241
141.7808,nan,nan,nan,66.2081,nan,2.254,2.0979
141.9332,nan,nan,nan,65.1694,nan,2.269,2.169
142.0856,nan,nan,nan,63.3276,nan,2.284,2.2174
142.238,nan,nan,nan,61.3552,nan,2.2994,2.2303
142.3904,nan,nan,nan,61.1407,nan,2.3204,2.2313
142.5428,nan,nan,nan,61.6188,nan,2.3461,2.2323
142.6952,nan,nan,nan,62.0969,nan,2.3614,2.233
142.8476,nan,nan,nan,62.6254,nan,2.3744,2.2333
143.0,nan,nan,nan,63.4337,nan,2.3817,2.2343
143.1524,nan,nan,nan,64.6596,nan,2.3925,2.2353
143.3048,nan,nan,nan,66.0128,nan,2.4071,2.236
143.4572,nan,nan,nan,67.4161,nan,2.4143,2.2363
143.6096,nan,nan,nan,69.0942,nan,2.4106,2.2377
143.762,nan,nan,nan,71.1783,nan,2.4036,2.2393
143.9144,nan,nan,nan,73.2784,nan,2.3966,2.24
144.0668,nan,nan,nan,74.7934,nan,2.3895,2.24
144.2192,nan,nan,nan,75.4513,nan,2.3822,2.2386
144.3716,nan,nan,nan,75.5279,nan,2.3745,2.2314
144.524,nan,nan,nan,73.8555,nan,2.3675,2.2209
144.6764,nan,nan,nan,69.512,nan,2.358,2.2159
144.8288,nan,nan,nan,64.1948,nan,2.3465,2.2129
144.9812,nan,nan,nan,60.6089,nan,2.3409,2.2081
145.1336,nan,nan,nan,60.6864,nan,2.3376,2.1976
145.286,nan,nan,nan,61.8904,nan,2.3325,2.1815
145.4384,nan,nan,nan,62.6977,nan,2.3255,2.1638
